pergunta,categoria,nivel,resposta,exemplo,palavras_chave
O que é impedimento?,Regras do jogo,Básico,Impedimento acontece quando um jogador participa da jogada estando em posição de vantagem no momento em que recebe o passe de um companheiro.,"Imagine que o atacante fica perto do goleiro adversário, à frente dos defensores, esperando a bola. A regra evita que ele fique ali só esperando para fazer o gol.",impedimento atacante defesa goleiro adiantado regra
O que é VAR?,Arbitragem,Básico,VAR é o árbitro de vídeo. Ele ajuda o juiz a revisar lances importantes quando pode ter acontecido um erro claro.,"O VAR pode ajudar em lances de gol, pênalti, cartão vermelho direto ou quando o juiz dá cartão para o jogador errado.",var arbitro árbitro video vídeo revisão juiz erro gol penalti pênalti vermelho
O que é saldo de gols?,Formato da Copa,Básico,Saldo de gols é a diferença entre os gols feitos e os gols sofridos por uma seleção.,"Se uma seleção fez 5 gols e sofreu 2, o saldo de gols é +3.",saldo gols classificação tabela grupo
Como funciona a fase de grupos?,Formato da Copa,Básico,A fase de grupos é a primeira parte da Copa. As seleções jogam dentro de seus grupos para somar pontos e tentar avançar.,"Na Copa de 2026, serão 12 grupos com 4 seleções. Cada seleção joga 3 partidas nessa fase.",fase grupos grupo pontos copa classificação
Como uma seleção se classifica na Copa de 2026?,Formato da Copa,Intermediário,"Na Copa de 2026, avançam os dois primeiros colocados de cada grupo e também os oito melhores terceiros colocados.","Como serão 12 grupos, 24 seleções passam como primeiro ou segundo lugar. Depois entram mais 8 seleções que ficaram em terceiro, formando 32 classificadas para o mata-mata.",classificação copa 2026 melhores terceiros grupos
O que são os melhores terceiros colocados?,Formato da Copa,Intermediário,"São as seleções que ficaram em terceiro lugar em seus grupos, mas tiveram campanha melhor do que outros terceiros colocados.","Uma seleção pode ficar em terceiro com 4 pontos e ainda se classificar, se sua campanha for melhor do que a de outros terceiros lugares.",terceiros melhores terceiros terceiro colocado classificação
O que é mata-mata?,Formato da Copa,Básico,Mata-mata é a fase em que quem perde é eliminado da competição.,"Depois da fase de grupos, se uma seleção perder nas fases eliminatórias, ela sai da Copa.",mata mata eliminatória oitavas quartas semifinal final
O que é rodada de 32?,Formato da Copa,Intermediário,A rodada de 32 é a primeira fase eliminatória da Copa de 2026. Ela acontece depois da fase de grupos.,"Como 32 seleções avançam, elas se enfrentam em jogos eliminatórios. Quem perde vai embora e quem ganha continua.",rodada 32 fase eliminatória copa 2026 mata mata
O que acontece se o jogo empatar no mata-mata?,Formato da Copa,Básico,"Se um jogo eliminatório terminar empatado, normalmente vai para a prorrogação. Se continuar empatado, a decisão vai para os pênaltis.",Por isso alguns jogos decisivos duram mais do que 90 minutos.,empate mata mata prorrogação pênaltis eliminatória
O que é prorrogação?,Formato da Copa,Básico,Prorrogação é um tempo extra jogado quando uma partida eliminatória termina empatada.,"Depois dos 90 minutos, podem ser jogados mais 30 minutos, divididos em dois tempos de 15.",prorrogação tempo extra empate mata mata
O que são pênaltis?,Regras do jogo,Básico,"Pênalti é uma cobrança feita de frente para o goleiro, a partir da marca do pênalti.",Ele pode acontecer por uma falta dentro da área ou para decidir uma partida eliminatória que continuou empatada após a prorrogação.,penalti pênalti cobrança goleiro decisão
O que são acréscimos?,Regras do jogo,Básico,Acréscimos são minutos extras dados pelo juiz para compensar paralisações durante o jogo.,"Se teve atendimento médico, substituições, checagem do VAR ou demora para repor a bola, o juiz pode acrescentar tempo.",acréscimos acrescimos tempo extra juiz minutos
