selecao,continente,titulos,anos_titulos,participacoes,melhor_campanha,curiosidade,resumo,palavras_chave
Brasil,América do Sul,5,"1958, 1962, 1970, 1994 e 2002",22,Campeão,É a seleção com mais títulos de Copa do Mundo e a única que participou de todas as edições até 2022.,"O Brasil é uma das seleções mais tradicionais da Copa. Ficou conhecido pelo futebol criativo, pelos grandes craques e por conquistas marcantes em diferentes gerações.",brasil pentacampeão penta pelé ronaldo copa títulos américa sul
Argentina,América do Sul,3,"1978, 1986 e 2022",18,Campeão,Tem dois dos jogadores mais marcantes da história das Copas: Maradona e Messi.,"A Argentina tem uma trajetória forte em Copas, marcada por craques históricos, rivalidade intensa e títulos que emocionaram gerações de torcedores.",argentina messi maradona tricampeã copa títulos américa sul
Alemanha,Europa,4,"1954, 1974, 1990 e 2014",20,Campeão,É conhecida pela regularidade e por chegar muitas vezes às fases finais da Copa.,"A Alemanha é uma das maiores potências da história da Copa. Sua seleção ficou marcada pela organização, força coletiva e campanhas consistentes.",alemanha tetracampeã europa copa títulos 2014
Itália,Europa,4,"1934, 1938, 1982 e 2006",18,Campeão,"Mesmo sendo tetracampeã, ficou fora das Copas de 2018 e 2022.","A Itália é uma seleção histórica, famosa pela tradição defensiva, grandes goleiros e campanhas memoráveis em Copas do Mundo.",itália tetracampeã europa copa títulos defesa
França,Europa,2,1998 e 2018,16,Campeão,Foi campeã em casa em 1998 e voltou a conquistar o mundo em 2018.,"A França cresceu muito nas últimas décadas e se tornou uma das seleções mais fortes do futebol moderno, com gerações talentosas e muito competitivas.",frança mbappé zidane bicampeã europa copa 1998 2018
Uruguai,América do Sul,2,1930 e 1950,14,Campeão,"Venceu a primeira Copa do Mundo, em 1930, e protagonizou o famoso Maracanazo em 1950.","O Uruguai tem uma história gigante na Copa, apesar de ser um país pequeno. É lembrado pela garra, tradição e conquistas históricas.",uruguai maracanazo bicampeão américa sul copa 1930 1950
Espanha,Europa,1,2010,16,Campeão,Foi campeã em 2010 com um estilo de posse de bola que ficou conhecido mundialmente.,"A Espanha conquistou sua primeira Copa em 2010, com uma geração muito técnica e um futebol baseado em controle de bola e passes curtos.",espanha campeã 2010 europa iniesta posse bola
Inglaterra,Europa,1,1966,16,Campeão,"Conquistou seu único título jogando em casa, na Copa de 1966.","A Inglaterra é uma seleção tradicional e tem grande importância na história do futebol, mas ainda busca repetir o sucesso de 1966.",inglaterra campeã 1966 europa futebol tradição
Holanda,Europa,0,Não possui títulos,11,Vice-campeã,É considerada uma das maiores seleções que nunca venceram uma Copa.,"A Holanda marcou a história com seleções fortes e um estilo ofensivo. Mesmo sem título, chegou a finais e influenciou o futebol mundial.",holanda países baixos vice copa europa cruyff laranja mecânica
Portugal,Europa,0,Não possui títulos,8,3º lugar,Teve como grandes nomes Eusébio e Cristiano Ronaldo.,"Portugal ainda não venceu a Copa, mas tem história importante e jogadores marcantes que levaram a seleção a campanhas de destaque.",portugal cristiano ronaldo eusébio europa copa
Croácia,Europa,0,Não possui títulos,6,Vice-campeã,Chegou à final em 2018 e ficou em terceiro lugar em 1998 e 2022.,"A Croácia é uma seleção jovem em Copas, mas já construiu campanhas impressionantes, mostrando força coletiva e talento no meio-campo.",croácia modric vice 2018 europa copa
Bélgica,Europa,0,Não possui títulos,14,3º lugar,A geração recente ficou conhecida como geração belga de ouro.,A Bélgica teve campanhas importantes e ficou muito conhecida nos últimos anos por reunir jogadores talentosos em grandes clubes europeus.,bélgica geração de ouro europa copa terceiro lugar
Marrocos,África,0,Não possui títulos,6,4º lugar,"Foi a primeira seleção africana a chegar a uma semifinal de Copa, em 2022.",Marrocos fez história em 2022 ao chegar à semifinal. A campanha foi marcante para o futebol africano e para torcedores do mundo todo.,marrocos áfrica semifinal 2022 copa
Japão,Ásia,0,Não possui títulos,7,Oitavas de final,É uma das seleções asiáticas mais presentes nas Copas recentes.,"O Japão se consolidou como uma seleção competitiva, organizada e capaz de surpreender adversários tradicionais em grandes torneios.",japão ásia copa oitavas organização
Estados Unidos,América do Norte,0,Não possui títulos,11,3º lugar,Será um dos países-sede da Copa de 2026.,Os Estados Unidos têm investido cada vez mais no futebol e chegam à Copa de 2026 com grande expectativa por serem um dos anfitriões.,estados unidos eua usa copa 2026 sede américa norte
México,América do Norte,0,Não possui títulos,17,Quartas de final,Será um dos países-sede da Copa de 2026 e tem uma torcida muito presente.,"O México é uma seleção muito tradicional em Copas, conhecida pela presença constante e pelo apoio forte de sua torcida.",méxico copa 2026 sede américa norte torcida
Canadá,América do Norte,0,Não possui títulos,2,Fase de grupos,Será um dos países-sede da Copa de 2026.,"O Canadá tem uma história menor em Copas masculinas, mas ganhou destaque recente e terá papel importante como sede em 2026.",canadá copa 2026 sede américa norte
